id;idUniv;status;universitas;berdiri;noSK;tanggalSK;kodePos;telepon;fax;email;website;Lat;Long
23;72;Aktif;Universitas Jenderal Soedirman;9/23/1963;195;9/23/1963;53122;0281-635292;0281-631802;kusja@unsoed.ac.id;www.unsoed.ac.id;-7.4042404;109.2453948
24;73;Aktif;Universitas Palangka Raya;1 Januari 1963 ;SK MENTERI PTIP NO : 141;11/10/1963;27111;0536-3227111;0536-3227111;info@upr.ac.id;upr.ac.id;-2.2126852;113.9038657
25;74;Aktif;Universitas Jember;11/10/1964;No.1511964;11/10/1964;68121;331330224;331337422;humas@unej.ac.id;www.unej.ac.id;-8.1635716;113.7142301
26;75;Aktif;Universitas Lampung;9/22/1965;894124121967;9/21/1967;35145;721701609;721701609;humas@kpa.unila.ac.id;www.unila.ac.id;-5.3658227;105.2429272
27;76;Aktif;Universitas Sebelas Maret;8 Maret 1976 ;KEPPRES RI NOMOR 10 TAHUN 1976;8 Maret 1976 ;57126;0271 646994; 0271 642283; admin-uns@uns.ac.id;uns.ac.id;-7.5607481;110.8566134
28;77;Aktif;Universitas Tadulako;1 Mei 1981 ;170B-SWTP1997;4/1/1997;94118;0451-422611;0541-422355;untad@untad.ac.id;www.untad.ac.id;-0.8364322;119.8936937
29;78;Aktif;Universitas Halu Oleo;19 Agustus 1981 ;37 TAHUN 1981;11 Agustus 1981 ;93232;0401-3194163;0401-3190006;info@uho.ac.id;www.uho.ac.id;-4.0086915;122.5227249
30;79;Aktif;Universitas Bengkulu;4/24/1982;KEPPRES NO 17 TAHUN 1982;31 Maret 1982 ;38371;0736-21170;0736-22105;rektorat@unib.ac.id;www.unib.ac.id;-3.7599985;102.272497
31;80;Aktif;Universitas Terbuka;9/4/1984;41TAHUN 1984;11 Juni 1984 ;15418;021-7490941;021-7490147;hallo-ut@ut.ac.id;www.ut.ac.id;-6.344857;106.758034
32;81;Aktif;Universitas Negeri Padang;8 Januari 1997 ;1884D11997;8 Januari 1997 ;25131;7517051260;7517055628;info@unp.ac.id;www.unp.ac.id;-0.897936;100.3465033
33;82;Aktif;Universitas Negeri Malang;18 Oktober 1954 ;33756Kab;10 Desember 1958 ;65145;0341-551312;0341-551921;rektorat@um.ac.id;www.um.ac.id;-7.962774;112.618478
34;83;Aktif;Universitas Pendidikan Indonesia;20 Oktober 1954 ;PP NO 6 TAHUN 2004;30 Januari 2004 ;40154;022-2013161;022-2013651;info@upi.edu;www.upi.edu;-6.8615247;107.5896671
35;84;Aktif;Universitas Negeri Manado;9/22/1955;127 TAHUN 2000;9/13/2000;95618;4321321845;431321866; info@unima.ac.id; www.unima.ac.id;1.2724349;124.8843939
36;85;Aktif;Universitas Negeri Makassar;1 Januari 1964 ;11;1 Januari 1964 ;90222;0411 868943;0411 860794;admin@unm.ac.id;www.unm.ac.id;-5.1585949;119.4308019
37;86;Aktif;Universitas Negeri Jakarta;16 Mei 1964 ;551963;22 Mei 1963 ;13220;021-4893854;021-4893854;unj@unj.ac.id;www.unj.ac.id;-6.194859;106.8782741
38;87;Aktif;Universitas Negeri Yogyakarta;21 Mei 1964 ;31964;14 Mei 1964 ;55281;0274-586168;0274-565500;humas@uny.ac.id;www.uny.ac.id;-7.7758886;110.3840355
39;88;Aktif;Universitas Negeri Surabaya;19 Desember 1964 ;269;19 Desember 1964 ;60231;318280009;318280484;rektor@unesa.ac.id;www.unesa.ac.id;-7.3134828;112.7286666
40;89;Aktif;Universitas Negeri Medan;23 Juni 1963 ;124 TAHUN 1999;7 Oktober 1999 ;20221;061-6613365,6613276;061-6614002, 6613319;admin@unimed.ac.id;http:www.unimed.ac.id;3.565035;98.6553008
41;90;Aktif;Universitas Negeri Semarang;9/14/1965;22502000;6 Desember 2000 ;50229;024-8508091-93;024-8508082 (84);unnes@unnes.ac.id;www.unnes.ac.id;-7.0481927;110.3968368
42;91;Aktif;Universitas Sultan Ageng Tirtayasa;19 Maret 2001 ;KEP PRES NO. 32 TAHUN 2001;19 Maret 2001 ;42118;0254-280330;0254-281254;info@untirta.ac.id;http:www.untirta.ac.id;-6.1208316;106.1940069
43;93;Aktif;Universitas Khairun;15 Agustus 1964 ;18;30 Juli 1989 ;97719;0921-31109013110903;0921-3110901;univkhairun_tte@yahoo.co.id;unkhair.ac.id;1.4689713;124.8330646
44;94;Aktif;Universitas Papua;11/3/2000;155 Tahun 2014;17 Oktober 2014 ;98314;0986-211974, 211754;0986-211455;rektor@unipa.ac.id;unipa.ac.id;-0.834368;134.070162
45;95;Aktif;Universitas Malikussaleh;1 Agustus 2001 ;KEPPRES NO.952001;1 Agustus 2001 ;24351;0645-41373;0645-44450;info@unimal.ac.id;www.unimal.ac.id;5.2330876;96.9814575
46;96;Aktif;Universitas Negeri Gorontalo;9/1/1963;54;23 Juni 2004 ;96128;(0435)821125;(0435)821752;rektorat@ung.ac.id;www.ung.ac.id;0.556408;123.063603
47;98;Aktif;Universitas Bangka Belitung;4/12/2006;65 Tahun 2010;19 Oktober 2010 ;33126;0717- 422145;0717-421303;info@ubb.ac.id;http:ubb.ac.id;-2.1205637;106.1110103
48;99;Aktif;Universitas Borneo Tarakan;9 Oktober 1999 ;65 Tahun 2010;19 Oktober 2010 ;77123;8115307023;(0551) 2052558;ubt@borneo.ac.id;http:www.borneo.ac.id;3.3035806;117.6474437
49;100;Aktif;Universitas Musamus Merauke;9/26/2001;65 Tahun 2010;19 Oktober 2010 ;99611;0971-330651;0971-325976;info@unmus.ac.id;www.unmus.ac.id;-8.5318352;140.4170948
50;101;Aktif;Universitas Maritim Raja Ali Haji (UMRAH);9/8/2011;53 Tahun 2011;9/8/2011;29124;0771-7001550;0771-7038999;email@umrah.ac.id;http:umrah.ac.id;0.8704442;104.4757331
51;102;Aktif;Universitas Samudra;13 Mei 2013 ;PERPRES NO 37 tahun 2013;13 Mei 2013 ;24415;0641-426534;0641-426535;info@unsam.ac.id;unsam.ac.id;4.4577837;97.9714791
52;104;Aktif;Universitas Sembilanbelas November Kolaka;4/1/2014;Pepres No. 22 Tahun 2014;4/2/2014;93514;0405-2321132;0405-2324028;rektorat@usn.ac.id;htpp:www.usn.ac.id;-4.0728822;121.6247212
53;105;Aktif;Universitas Tidar;4/1/2014;Perpres No. 23 Tahun 2014;4/2/2014;56116;0293 - 364113;0293 - 362438;dbarca61@yahoo.com; ;-7.4599009;110.2167412
54;106;Aktif;Universitas Siliwangi;4/1/2014;Perpres No. 24 Tahun 2014;4/2/2014;46115;0265-330534;0265-325812;info@unsil.ac.id;www.unsil.ac.id;-7.3493148;108.2230427
55;107;Aktif;Universitas Teuku Umar;4/1/2014;Perpres No. 25 Tahun 2014;4/2/2014;23615;0655-7110535; 0655-7110535;info@utu.ac.id;utu.ac.id;4.1449267;96.1987158
56;109;Aktif;Universitas Timor;6 Oktober 2014 ;Perpres 119 Tahun 2014;6 Oktober 2014 ;85613;0388 2433012;0388 2433013;universitastimor@yahoo.co.id;www.unimor.ac.id;-9.440934;124.478531
57;110;Aktif;Universitas Pembangunan Nasional Veteran Jakarta;9 Oktober 2014 ;120 Tahun 2014;9 Oktober 2014 ; ;217656971;217656904;upnvj@upnvj.ac.id;www.upnvj.ac.id;-6.3157311;106.7935846
58;111;Aktif;Universitas Pembangunan Nasional Veteran Yogyakarta;9 Oktober 2014 ;perpres 1212014;9 Oktober 2014 ; ;;;;;-7.7622183;110.4093431
59;112;Aktif;Universitas Singaperbangsa Karawang;9 Oktober 2014 ;Perpres 1232014;9 Oktober 2014 ;4136;267641177;267641367;info@unsika.ac.id;www.unsika.ac.id;-6.9666913;107.8220358
60;113;Aktif;Institut Teknologi Bandung;2 Maret 1959 ;PP NO. 6 TAHUN 1959;2 Maret 1959 ;40116;+62-22-2500935;+62-22-2500935;info-center@itb.ac.id;www.itb.ac.id;-6.89148;107.6106591
61;114;Aktif;Institut Teknologi Sepuluh Nopember;11/10/1957;10125U.U;3 Desember 1960 ;60111;031-5994251-4 (1132);031-5939632;lptsi@its.ac.id;www.its.ac.id;-7.2768149;112.792208
62;115;Aktif;Institut Pertanian Bogor;9/1/1963;921963;9/1/1963;16680;0251-8622642;0251-8622708;humas@ipb.ac.id;www.ipb.ac.id;-6.560238;106.7256409
63;116;Aktif;Institut Seni Indonesia Yogyakarta;30 Mei 1984 ;391984;30 Mei 1984 ;55001;0274-379133, 373659;0274-371233;arts@isi.ac.id;www.isi.ac.id;-7.8513179;110.3563104
64;117;Aktif;Institut Seni Indonesia Denpasar;28 Januari 1967 ;KEPPRES NOMOR 33 TH 2003;26 Mei 2003 ;80235;361227316;361236100;rektor@isi-dps.ac.id;www.isi-dps.ac.id;-8.6535743;115.2326286
65;118;Aktif;Institut Seni Indonesia Surakarta;20 Juli 2006 ;772006;20 Juli 2006 ;57126;0271-647658;0271-646175;direct@isi-ska.ac.id;www.isi-ska.ac.id;-7.5587009;110.852542
66;119;Aktif;Institut Seni Indonesia Padang Panjang;9 Juni 1999 ;60 Tahun 2009;31 Desember 2009 ;27115;0752-82077;0752-83038;isi@isi-padangpanjang.ac.id;www.isi-padangpanjang.ac.id;-0.458541;100.403724
67;120;Aktif;Institut Seni Budaya Indonesia Bandung;25 Agustus 1995 ;Perspres No. 86 Tahun 2014;25 Agustus 2014 ;40265;022-7314982;022-7303021;stsi@stsi-bdg.ac.id;www.stsi-bdg.ac.id;-6.9430811;107.6280823
68;121;Aktif;Institut Seni Budaya Indonesia Aceh;9 Oktober 2014 ;126 Tahun 2014;9 Oktober 2014 ;;0651-92020;0651-92020;isbiaceh@gmail.com;www.isbiaceh.ac.id;5.5226099;95.3260994
69;123;Aktif;Institut Teknologi Kalimantan;9 Oktober 2014 ;125 Tahun 2014;9 Oktober 2014 ;; 0542-8530800;  0542-8530801;humas@itk.ac.id;www.itk.ac.id;-1.1504268;116.8608989
70;124;Aktif;Institut Teknologi Sumatera;9 Oktober 2014 ;124 Tahun 2014;9 Oktober 2014 ;35365;(0721) 8030188; ;pusat@itera.ac.id;www.itera.ac.id;-5.3581794;105.3148043
71;127;Aktif;Politeknik Negeri Jakarta;9/22/1982;136O2002;31 Juli 2002 ;16425;021-7270036;021-7270034;humas@pnj.ac.id;www.pnj.ac.id;-6.3712765;106.8244475
72;128;Aktif;Politeknik Negeri Medan;9/20/1982;084O1997;4/28/1997;20155;061-8211235;061-8215845;polmed@polmed.ac.id;www.polmed.ac.id;3.565035;98.6553008
73;129;Aktif;Politeknik Negeri Bandung;27 Januari 1979 ;03DJKEP1979;27 Januari 1979 ;40559;2013789;2013889;polban@polban.ac.id;www.polban.ac.id;-6.8711891;107.5735983
74;130;Aktif;Politeknik Negeri Semarang;6 Agustus 1982 ;17501997;6 Agustus 1997 ;50275;024-7473417;024-7472396;sekretariat@polines.ac.id;www.polines.ac.id;-7.052326;110.435495
75;131;Aktif;Politeknik Negeri Sriwijaya;9/20/1982;23501998;9/20/1998;30137;0711-353414;0711-355918;info@polsri.ac.id;www.polsri.ac.id;-2.9832735;104.7331937
76;132;Aktif;Politeknik Negeri Lampung;4/7/1984;036O2001;4/7/2001;35144;0721-703995;0721-703787;setdir@polinela.ac.id;www.polinela.ac.id;-5.3579355;105.232846
77;134;Aktif;Politeknik Negeri Padang;12 Maret 1985 ;80DIKTIKEP1985;12 Maret 1985 ;21562;0751-72590;0751-72576;pnp@polinpdg.ac.id;www.polinpdg.ac.id;-0.9137793;100.4662863
78;135;Aktif;Politeknik Negeri Bali;3 Desember 1985 ;081O1997;4/28/1997;80364;0361-701981;0361-701128;poltek@pnb.ac.id;www.pnb.ac.id;-8.7990608;115.1615675
79;136;Aktif;Politeknik Negeri Pontianak;3 Desember 1985 ;079O1997;4/28/1997;78124;0561-736180;0561-740143;kampus@polnep.ac.id;www.polnep.ac.id;-0.053918;109.347065
80;137;Aktif;Politeknik Negeri Ujung Pandang;10 Mei 1987 ;028O1997;4/28/1997;90245;0411-585367;0411-586043;pnup@poliup.ac.id;www.poliupg.ac.id;-5.1300777;119.4824767
81;138;Aktif;Politeknik Negeri Manado;11/9/1987;13902002;31 Juli 2002 ;95252;0431-811245;0431-811568;informasi@polimdo.ac.id;www.polimdo.ac.id;1.5189154;124.8861073
82;139;Aktif;Politeknik Perkapalan Negeri Surabaya;4/1/1987;0313O1991;6 Juni 1991 ;60111;031-5947186;031-5925524;ppns-its@ppns.ac.id;www.ppns.ac.id;-7.277462;112.795796
83;140;Aktif;Politeknik Negeri Banjarmasin;13 Juli 1987 ;1585DO1987;13 Juli 1987 ;70123;0511-3305052;0511-3305052;poliban@poliban.ac.id;www.poliban.ac.id;-3.2956916;114.5820675
84;141;Aktif;Politeknik Negeri Lhokseumawe;5 Oktober 1987 ;35DIKTIKEP1990;9 Mei 1990 ;24301;0645-42785;0645-42785;poltek@pnl.ac.id;www.pnl.ac.id;5.1195748;97.1572184
85;142;Aktif;Politeknik Negeri Kupang;11 Maret 1985 ;331DIKTIKEP1988;9/16/1988;85361;0380 881245, 881246;0380 881245;pnkkupang@gmail.com;www.pnk.ac.id;-10.1518822;123.6675398
86;143;Aktif;Politeknik Elektronik Negeri Surabaya;29 Mei 1986 ;1298DT1986;29 Mei 1986 ;60111;031-5947280;031-5946114;pens@pens.ac.id;www.pens.ac.id;-7.2767636;112.7949036
87;144;Aktif;Politeknik Negeri Jember;29 Oktober 1988 ;19102002;11/5/2002;68101;(0331)333532,333533;(0331)333531;politeknik@polije.ac.id;www.polije.ac.id;-8.1599532;113.7230815
88;145;Aktif;Politeknik Pertanian Negeri Pangkajene Kepulauan;9/9/1990;083O1997;4/28/1997;90655;0410-2312704;0410-2312705;admin@polipangkep.ac.id;www.polipangkep.ac.id;-4.5694309;119.5994603
89;146;Aktif;Politeknik Pertanian Negeri Kupang;4/7/1984;25201997;6 Oktober 1997 ;85011;0380 881600;0380 881601;politanikoe@yahoo.com; www.politanikoe.ac.id;-10.1520807;123.6705879
90;147;Aktif;Politeknik Perikanan Negeri Tual;18 Juli 1997 ;4DO1997;18 Juli 1997 ;97612;91621377;91621377; ; www.polikant.ac.id;-5.71498;132.7463289
91;149;Aktif;Politeknik Pertanian Negeri Samarinda;4/28/1997;087O1997;4/28/1997;75131;0541-260421;0541-260680;pdpt_politani@politanisamarinda.ac.id;http:politanisamarinda.ac.id;-0.5339664;117.1244931
92;150;Aktif;Politeknik Pertanian Negeri Payakumbuh;6 Februari 1989 ;35DIKTIKEP90;9 Mei 1990 ;26271;0752-7754192;0752-7750220;sekretariat@politanipyk.ac.id;www.politanipyk.ac.id;-0.1698506;100.6645141
93;151;Aktif;Politeknik Negeri Samarinda;3 Desember 1985 ;086O1997;4/28/1997;75136;0541-260588;0541-260355;polnes@polnes.ac.id;www.polnes.ac.id;-0.5339664;117.1244931
94;152;Aktif;Politeknik Negeri Media Kreatif;8 Oktober 2008 ;NO 60;8 Oktober 2008 ;12640;(021) 7864753-55;(021) 786 4752;info@polimedia.ac.id;polimedia.ac.id;-6.3467271;106.8261361
95;153;Aktif;Politeknik Manufaktur Negeri Bangka Belitung;18 Oktober 2010 ;25 Tahun 2010;18 Oktober 2010 ;33211;0717 93586;0717 93585;polman@polman-babel.ac.id;www.polman-babel.ac.id;-1.8522619;106.1313522
96;154;Aktif;Politeknik Negeri Batam;18 Oktober 2010 ;26 Tahun 2010;18 Oktober 2010 ;29641;0778 - 469856;0778 - 463620;info@polibatam.ac.id;www.polibatam.ac.id;1.118673;104.048442
97;155;Aktif;Politeknik Negeri Nusa Utara;22 Juni 2011 ;24 Tahun 2011;22 Juni 2011 ;95812;0432-24745;0432-24744;info@polnustar.ac.id;polnustar.ac.id;3.630609;125.470047
98;156;Aktif;Politeknik Negeri Bengkalis;29 Juli 2011 ;28 Tahun 2011;29 Juli 2011 ;28711;6276624566;627668001000;polbeng@polbeng.ac.id;polbeng.ac.id;1.4601782;102.1511398
99;157;Aktif;Politeknik Negeri Balikpapan;9/9/2011;41 Tahun 2011;9/9/2011;76126;(0542) 860895;(0542) 861107;admin@poltekba.ac.id;www.poltekba.ac.id;-1.2020231;116.8849174
100;158;Aktif;Politeknik Negeri Madura;29 Oktober 2012 ;Nomor: 67 Tahun 2012;29 Oktober 2012 ;69213;0323-327777;0323-327111;baak@poltera.ac.id;www.poltera.ac.id;-7.2155938;113.2724423
101;159;Aktif;Politeknik Maritim Negeri Indonesia;9/19/2012;62 Tahun 2012;9/19/2012;50233;2486457895;2486457900;info@polimarin.ac.id;www.polimarin.ac.id;-7.0182793;110.3995844
102;160;Aktif;Politeknik Negeri Banyuwangi;4 Oktober 2013 ;14 Tahun 2013;22 Februari 2013 ;68461;(0333)636780;(0333)636780;poliwangi@poliwangi.ac.id;www.poliwangi.ac.id;-8.2957923;114.307758
103;161;Aktif;Politeknik Negeri Madiun;30 Oktober 2012 ;66 Tahun 2012;30 Oktober 2012 ;63133;0351-452970;0351-492960;sekretariat@pnm.ac.id;www.pnm.ac.id;-7.6476375;111.5265192
104;162;Aktif;Politeknik Negeri Fakfak;30 Oktober 2012 ;68 Tahun 2012;30 Oktober 2012 ;92618;0956-24886;0956-24886;politek_nef@gmail.com;www.polinef.ac.id;-2.9203406;132.2830782
105;163;Aktif;Politeknik Negeri Sambas;22 Februari 2013 ;15 tahun 2013;22 Februari 2013 ;79460;0562 392592;0562 392592;poltesainfo@ymail.com;www.poltesa.ac.id;1.3822633;109.3175486
106;164;Aktif;Politeknik Negeri Tanah Laut;9/25/2009;Permendikbud No. 16 Tahun 2014;26 Februari 2014 ;70815;0512-21537;0512-21537;mail@politala.ac.id;www.politala.ac.id;-3.7538781;114.7673332
107;165;Aktif;Politeknik Negeri Subang;4/1/2014;Permendikbud 242014;4/1/2014;;0260-417648;0260-417628; ;www.polsub.ac.id;-6.5544111;107.759038
108;166;Aktif;Politeknik Negeri Ketapang;4/8/2008;Permendikbud 152014;26 Februari 2014 ;78851;0534-303-7213;0534-303-7213;humas@polinka.ac.id;polinka.ac.id;-1.8174671;109.9908645
109;167;Aktif;Politeknik Negeri Cilacap;3 Oktober 2014 ;Permendikbud 1022014;3 Oktober 2014 ;53212;0282 537992;0282 533329;poltec@politeknikcilacap.ac.id;www.politeknikcilacap.ac.id;-7.717551;109.019802
110;168;Aktif;Politeknik Negeri Indramayu;8 Juli 2008 ;Permendikbud No. 1012014;3 Oktober 2014 ;45252;0234-5746464; 0234-5746464;baak@polindra.ac.id;www.polindra.ac.id;-6.4085247;108.2810709
111;172;Aktif;Universitas Islam Sumatera Utara;7 Januari 1952 ;6BB-SWTP1965;9/20/1965;20143;061-7866932;061-7880326;infokom@uisu.ac.id;uisu.ac.id;3.5484252;98.6986811
112;173;Aktif;Universitas HKBP Nommensen;7 Oktober 1954 ;13;25 Agustus 1956 ;20234;061-4522922;061-4571426;uhn@mail.uhn.ac.id;www.uhn.ac.id;3.5976229;98.6808558
113;174;Aktif;Universitas Muhammadiyah Sumatera Utara;28 Februari 1957 ;26610071974;28 Mei 1974 ;20238;061-6622400, 6624567;061-6625474;rektor@umsu.ac.id;www.umsu.ac.id;3.6144856;98.6759901
114;176;Aktif;Universitas Simalungun;4/9/1966;13;27 Juli 2000 ;21139;0622 24670;0622 430071;usi-ps@indo.net.id;www.usi.ac.id;2.9631401;99.0473384
115;177;Aktif;Universitas Methodist Indonesia;1 Agustus 1965 ;5;4/21/1966;20152;614536735;614567533;info@methodist.ac.id;www.methodist.ac.id;3.5789648;98.6701404
116;178;Aktif;Universitas Darma Agung;29 Mei 1959 ;571957;11 Desember 1957 ;20153;(061)4535432,4535432;(061)4149562;uda.medan@telkom.net;www.uda.ac-id.net;3.5786811;98.6648213
117;179;Aktif;Universitas Medan Area;4/29/1983;001BP-YPHAS1998;4/20/1998;20223;061-7366878;061-7366998;univ_medanarea@uma.ac.id;www.uma.ac.id;3.597956;98.712175
118;180;Aktif;Universitas Katolik Santo Thomas;20 Juni 1984 ;25;20 Juni 1984 ;20132;061 8210161;061 8213269;info@ust.ac.id;www.ust.ac.id;3.5434231;98.6220035
119;181;Aktif;Universitas Amir Hamzah;9/19/1981;25;19 Oktober 1981 ;20371;061 6614160;061 6614160;univ_unham@yahoo.com;www.unhamzah.ac.id;3.6047894;98.7171387
120;182;Aktif;Universitas Sisingamangaraja XII;18 Juni 1984 ;0183O1985;4/20/1985;20235;061-414-6659;061-453-9642;  univ.sisingamangarajaxiimedan@gmail.com; univ.sisingamangaraja.ac.id;3.598745;98.6906208
121;183;Aktif;Universitas Dharmawangsa;22 Mei 1986 ;SK. NO.0329O1990;4/5/1990;20115;061-661-3783;061-661-5190;univ@dharmawangsa.ac.id;www.dharmawangsa.ac.id;3.613661;98.673482
122;184;Aktif;Universitas Muhammadiyah Tapanuli Selatan;15 Juli 1983 ;0265O1987;4 Mei 1987 ;22716;(0634)21696;(0634)21696;bau@umts.ac.id;www.umts.ac.id;1.391461;99.2712492
123;185;Aktif;Universitas Graha Nusantara;16 Februari 1985 ;84;16 Februari 1985 ;22715;0634-25292;0634-28327;ugn_psp@yahoo.com; ;1.3936698;99.2574103
124;186;Aktif;Universitas Asahan;17 Agustus 1985 ;24;18 Juli 1985 ;21224;0623-42643;--;univ_asahan@yahoo.co.id;universitasasahan.ac.id;2.9662036;99.6217333
125;187;Aktif;Universitas Alwashliyah;18 Mei 1958 ;25B-SWTP62;24 Januari 1962 ;20147;061-7868270;061-7868270;univamedan@yahoo.com;univamedan.ac.id;3.5458244;98.7046328
126;188;Aktif;Universitas Sisingamangaraja XII Tapanuli Utara;4/2/1986;34;17 Januari 1987 ;22476;0633-41017;0633-41017; ; ;2.2561905;99.0018002
127;189;Aktif;Universitas Pembinaan Masyarakat Indonesia;5 Oktober 1979 ;58;17 Oktober 1984 ;20227;061 7362927;061 7362927;upmi@upmi.ac.id;www.upmi.ac.id;3.567552;98.690563
128;191;Aktif;Universitas Muslim Nusantara Al-Washliyah;8 Agustus 1996 ;181DIKTIKep2002;15 Agustus 2002 ;20147;061-7867044, 7868487;061 - 7862747;info@umnaw.ac.id;www.umnaw.ac.id;3.5458244;98.7046328
129;192;Aktif;Universitas Islam Labuhan Batu;3 Juni 1998 ;53D02000;1 Mei 2000 ;21414;0624-24629;0624-24639;unisla@outlook.com;www.unisla.id;2.0484439;99.8041245
130;194;Aktif;Universitas Prima Indonesia;13 Oktober 2005 ;151DO2005;13 Oktober 2005 ;20118;614578870;614578890;contact@unprimdn.ac.id;unprimdn.ac.id;3.5978745;98.6543532
131;195;Aktif;Universitas Dian Nusantara;5 Juni 2008 ;96DO2008;5 Juni 2008 ;12345; ; ; ; ;3.5127544;98.6154089
132;196;Aktif;Universitas Setia Budi Mandiri;14 Juli 2008 ;131DO2008;14 Juli 2008 ;20142;061-800-39799;061-800-39799;setiabudimandiri_99@yahoo.com; www.usbm.ac.id;3.5566673;98.6773626
133;197;Aktif;Universitas Al-washliyah Labuhan Batu;31 Juli 2008 ;150DO2008;20 Juli 2008 ;12345;0624-351765;0624-351765;univalab@yahoo.co.id;univalabuhanbatu.ac.id.;3.623144;98.679163
134;198;Aktif;Universitas Quality;18 Desember 2008 ;226DO2008;18 Desember 2008 ;12345;6180047003;-;info@universitasquality.ac.id;www.universitasquality.ac.id;3.5402845;98.6301525
135;199;Aktif;Universitas Sutomo;21 Juli 2009 ;105DO2009;21 Juli 2009 ;20235;061-6614108;061-6614108;Admin@universitassutomo.ac.id;Universitassutomo.ac.id;3.6092748;98.6802241
