,,,Universitas,,,,Alamat,Kota,Kode Pos,Full Address,Latitude,Longitude,,,,,Address,Lat,Long
33,82,Aktif,Universitas Negeri Malang,18 Oktober 1954 ,33756Kab,10 Desember 1958 ,Jalan Semarang 5 Malang,Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur,65145,Jalan Semarang 5 Malang Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur 65145 ,-7.9640183,112.6202643,0341-551312,0341-551921,rektorat@um.ac.id,www.um.ac.id,Universitas Negeri Malang Jalan Semarang 5 Malang Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur 65145,-7.962774,112.618478
34,83,Aktif,Universitas Pendidikan Indonesia,20 Oktober 1954 ,PP NO 6 TAHUN 2004,30 Januari 2004 ,Jalan Dr Setiabudhi No 229 ,Kota Bandung - Prop. Jawa Barat - Indonesia,40154,Jalan Dr Setiabudhi No 229  Kota Bandung - Prop. Jawa Barat - Indonesia 40154 ,-6.8646539,107.5941861,022-2013161,022-2013651,info@upi.edu,www.upi.edu,Universitas Pendidikan Indonesia Jalan Dr Setiabudhi No 229  Kota Bandung - Prop. Jawa Barat - Indonesia 40154,-6.8610845,107.5943279
35,84,Aktif,Universitas Negeri Manado,9/22/1955,127 TAHUN 2000,9/13/2000,Jalan Kampus Unima ,Kec. Tondano Selatan - Kab. Minahasa - Prop. Sulawesi Utara,95618,Jalan Kampus Unima  Kec. Tondano Selatan - Kab. Minahasa - Prop. Sulawesi Utara 95618 ,1.2792159,124.8771845,4321321845,431321866, info@unima.ac.id, www.unima.ac.id,Universitas Negeri Manado Jalan Kampus Unima  Kec. Tondano Selatan - Kab. Minahasa - Prop. Sulawesi Utara 95618,1.2724349,124.8843939
36,85,Aktif,Universitas Negeri Makassar,1 Januari 1964 ,11,1 Januari 1964 ,Jalan A P Pettarani Gunungsari,Kota Makassar - Prop. Sulawesi Selatan - Indonesia,90222,Jalan A P Pettarani Gunungsari Kota Makassar - Prop. Sulawesi Selatan - Indonesia 90222 ,-5.1577253,119.4365841,0411 868943,0411 860794,admin@unm.ac.id,www.unm.ac.id,Universitas Negeri Makassar Jalan A P Pettarani Gunungsari Kota Makassar - Prop. Sulawesi Selatan - Indonesia 90222,-5.1688321,119.4359736
37,86,Aktif,Universitas Negeri Jakarta,16 Mei 1964 ,551963,22 Mei 1963 ,Jalan Rawamangun Muka ,Kec. Pulo Gadung - Kota Jakarta Timur - Prop. D.K.I. Jakarta,13220,Jalan Rawamangun Muka  Kec. Pulo Gadung - Kota Jakarta Timur - Prop. D.K.I. Jakarta 13220 ,-6.196718,106.8828215,021-4893854,021-4893854,unj@unj.ac.id,www.unj.ac.id,Universitas Negeri Jakarta Jalan Rawamangun Muka  Kec. Pulo Gadung - Kota Jakarta Timur - Prop. D.K.I. Jakarta 13220,-6.194859,106.8782741
38,87,Aktif,Universitas Negeri Yogyakarta,21 Mei 1964 ,31964,14 Mei 1964 ,Kampus Karangmalang Yogyakarta ,Kab. Sleman - Prop. D.I. Yogyakarta - Indonesia,55281,Kampus Karangmalang Yogyakarta  Kab. Sleman - Prop. D.I. Yogyakarta - Indonesia 55281 ,-7.7724858,110.3866218,0274-586168,0274-565500,humas@uny.ac.id,www.uny.ac.id,Universitas Negeri Yogyakarta Kampus Karangmalang Yogyakarta  Kab. Sleman - Prop. D.I. Yogyakarta - Indonesia 55281,-7.7691324,110.3881506
39,88,Aktif,Universitas Negeri Surabaya,19 Desember 1964 ,269,19 Desember 1964 ,Jalan Ketintang ,Kota Surabaya - Prop. Jawa Timur - Indonesia,60231,Jalan Ketintang  Kota Surabaya - Prop. Jawa Timur - Indonesia 60231 ,-7.3099188,112.7294952,318280009,318280484,rektor@unesa.ac.id,www.unesa.ac.id,Universitas Negeri Surabaya Jalan Ketintang  Kota Surabaya - Prop. Jawa Timur - Indonesia 60231,-7.3152633,112.7269769
40,89,Aktif,Universitas Negeri Medan,23 Juni 1963 ,124 TAHUN 1999,7 Oktober 1999 ,Jalan Willem Iskandar Pasar V Medan Estate,Kota Medan - Prop. Sumatera Utara - Indonesia,20221,Jalan Willem Iskandar Pasar V Medan Estate Kota Medan - Prop. Sumatera Utara - Indonesia 20221 ,3.6131786,98.7071612,"061-6613365,6613276","061-6614002, 6613319",admin@unimed.ac.id,http:www.unimed.ac.id,Universitas Negeri Medan Jalan Willem Iskandar Pasar V Medan Estate Kota Medan - Prop. Sumatera Utara - Indonesia 20221,,
41,90,Aktif,Universitas Negeri Semarang,9/14/1965,22502000,6 Desember 2000 ,Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati ,Kec. Gunung Pati - Kota Semarang - Prop. Jawa Tengah,50229,Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati  Kec. Gunung Pati - Kota Semarang - Prop. Jawa Tengah 50229 ,-7.0511909,110.3915746,024-8508091-93,024-8508082 (84),unnes@unnes.ac.id,www.unnes.ac.id,Universitas Negeri Semarang Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati  Kec. Gunung Pati - Kota Semarang - Prop. Jawa Tengah 50229,,
42,91,Aktif,Universitas Sultan Ageng Tirtayasa,19 Maret 2001 ,KEP PRES NO. 32 TAHUN 2001,19 Maret 2001 ,Jl Raya Jakarta Km 4 Pakupatan,Kota Serang - Prop. Banten - Indonesia,42118,Jl Raya Jakarta Km 4 Pakupatan Kota Serang - Prop. Banten - Indonesia 42118 ,,,0254-280330,0254-281254,info@untirta.ac.id,http:www.untirta.ac.id,Universitas Sultan Ageng Tirtayasa Jl Raya Jakarta Km 4 Pakupatan Kota Serang - Prop. Banten - Indonesia 42118,,
43,93,Aktif,Universitas Khairun,15 Agustus 1964 ,18,30 Juli 1989 ,Jalan Pertamina Kampus II Gambesi,Kec. Ternate Selatan - Kota Ternate - Prop. Maluku Utara,97719,Jalan Pertamina Kampus II Gambesi Kec. Ternate Selatan - Kota Ternate - Prop. Maluku Utara 97719 ,,,0921-31109013110903,0921-3110901,univkhairun_tte@yahoo.co.id,unkhair.ac.id,Universitas Khairun Jalan Pertamina Kampus II Gambesi Kec. Ternate Selatan - Kota Ternate - Prop. Maluku Utara 97719,,
44,94,Aktif,Universitas Papua,11/3/2000,155 Tahun 2014,17 Oktober 2014 ,"Jl Gunung Salju, Amban Manokwari",Kab. Manokwari - Prop. Papua Barat - Indonesia,98314,"Jl Gunung Salju, Amban Manokwari Kab. Manokwari - Prop. Papua Barat - Indonesia 98314 ",-0.834685,134.0675111,"0986-211974, 211754",0986-211455,rektor@unipa.ac.id,unipa.ac.id,"Universitas Papua Jl Gunung Salju, Amban Manokwari Kab. Manokwari - Prop. Papua Barat - Indonesia 98314",-0.834368,134.070162
45,95,Aktif,Universitas Malikussaleh,1 Agustus 2001 ,KEPPRES NO.952001,1 Agustus 2001 ,"Cot Tengku Nie Reuleut
Muara Batu, Aceh Utara",Kec. Muara Batu - Kab. Aceh Utara - Prop. Aceh,24351,"Cot Tengku Nie Reuleut
Muara Batu, Aceh Utara Kec. Muara Batu - Kab. Aceh Utara - Prop. Aceh 24351 ",,,0645-41373,0645-44450,info@unimal.ac.id,www.unimal.ac.id,"Universitas Malikussaleh Cot Tengku Nie Reuleut
Muara Batu, Aceh Utara Kec. Muara Batu - Kab. Aceh Utara - Prop. Aceh 24351",5.233901,96.9883474
46,96,Aktif,Universitas Negeri Gorontalo,9/1/1963,54,23 Juni 2004 ,Jalan Jenderal Sudirman No 6 Kec. Kota Tengah Kel. Wumialo ,Kota Gorontalo - Prop. Gorontalo - Indonesia,96128,Jalan Jenderal Sudirman No 6 Kec. Kota Tengah Kel. Wumialo  Kota Gorontalo - Prop. Gorontalo - Indonesia 96128 ,0.5524294,123.063711,(0435)821125,(0435)821752,rektorat@ung.ac.id,www.ung.ac.id,Universitas Negeri Gorontalo Jalan Jenderal Sudirman No 6 Kec. Kota Tengah Kel. Wumialo  Kota Gorontalo - Prop. Gorontalo - Indonesia 96128,0.556408,123.063603
47,98,Aktif,Universitas Bangka Belitung,4/12/2006,65 Tahun 2010,19 Oktober 2010 , Jalan Merdeka No. 4,Kec. Taman Sari - Kota Pangkalpinang - Prop. Bangka Belitung,33126, Jalan Merdeka No. 4 Kec. Taman Sari - Kota Pangkalpinang - Prop. Bangka Belitung 33126 ,-2.1210348,106.1098536,0717- 422145,0717-421303,info@ubb.ac.id,http:ubb.ac.id,Universitas Bangka Belitung  Jalan Merdeka No. 4 Kec. Taman Sari - Kota Pangkalpinang - Prop. Bangka Belitung 33126,-2.0687198,106.0768591
48,99,Aktif,Universitas Borneo Tarakan,9 Oktober 1999 ,65 Tahun 2010,19 Oktober 2010 ,"Jl. Amal Lama No.01 Tarakan
",Kota Tarakan - Prop. Kalimantan Utara - Indonesia,77123,"Jl. Amal Lama No.01 Tarakan
 Kota Tarakan - Prop. Kalimantan Utara - Indonesia 77123 ",,,8115307023,(0551) 2052558,ubt@borneo.ac.id,http:www.borneo.ac.id,"Universitas Borneo Tarakan Jl. Amal Lama No.01 Tarakan
 Kota Tarakan - Prop. Kalimantan Utara - Indonesia 77123",3.3035806,117.6474437
